panelKey,lanes2,fullname,email,jobtitle,otherinfo,timestamp
__Good2Go_images_1_lane_Boise_ID_img_0011_jpg,"1","Noah","","","",2021-10-28T00:20:44.634Z
__Good2Go_images_1_lane_Boise_ID_img_0006_jpg,"1",,,,,
__Good2Go_images_6_lanes_img_38504322_jpg,"5",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0020_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0018_jpg,"2",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0008_jpg,"1",,,,,
__Good2Go_images_6_lanes_img_49691138_jpg,"7",,,,,
__Good2Go_images_1_lane_Ada_County_ID_img_0031_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0005_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0003_jpg,"1",,,,,
__Good2Go_images_6_lanes_img_44390143_jpg,"3",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0013_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0015_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0016_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0014_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0012_jpg,"1",,,,,
__Good2Go_images_6_lanes_img_43390143_jpg,"5",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0007_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0017_jpg,"1",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0004_jpg,"1",,,,,
__Good2Go_images_1_lane_Ada_County_ID_img_0032_jpg,"0",,,,,
__Good2Go_images_1_lane_Boise_ID_img_0019_jpg,"1",,,,,
